"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","26","20","6","22.566378","0","50"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","33","8","2","24.108259","0","103"
"/OpenXR/Devices/M_XRController.M_XRController","21","45","20","3","63.050972","0","140"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","2","2","1","2.411707","0","2"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","2","2","1","2.496020","0","2"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","30","3","1","32.455692","0","183"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","2","2","1","2.436749","0","2"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","2.400753","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","1.901775","0","2"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","21","15","2","1","20.468264","0","70"
"/OculusVR/Materials/touchController_mat.touchController_mat","21","30","3","1","33.270142","0","224"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","21","2","2","1","1.927953","0","2"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","21","2","2","1","2.145763","0","2"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","2","2","1","2.087814","0","2"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","21","44","5","1","72.048027","0","402"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","21","104","1","1","174.673721","0","1995"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","21","195","8","1","98.641808","0","2881"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","21","75","1","1","73.275482","0","1174"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","240","3","1","249.285706","0","8632"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","21","2","2","1","1.771267","0","2"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","21","2","2","1","1.878214","0","2"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","1.840148","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","30","3","1","32.179031","0","217"
